source_row,department,allocation_ratio,meter_id,b_code,floor,subb_code,building_name,allocation_building_name
4,สก.ชธธ.,1.0,T.0007__FL01__MDB,T.0007,FL01,MDB,ท.0007 อาคาร กองบริหาร ชธธ.,ท.0007 อาคาร กองบริหาร ชธธ.
5,สก.ชธธ.,1.0,D.0026__FL01__MDB,D.0026,FL01,MDB,ต.0026 อาคารระบบประปา,ต.0026 อาคารระบบประปา
6,สก.ชธธ.,1.0,D.0017__FL01__MDB,D.0017,FL01,MDB,ต.0017 อาคาร โรงอาหาร,ต.0017 อาคาร โรงอาหาร
12,สก.ชธธ.,1.0,D.0019__FL01__MDB,D.0019,FL01,MDB,ต.0019 อาคารนันทนาการพร้อมอาคารจอดรถ,ต.0019 อาคารนันทนาการพร้อมอาคารจอดรถ
20,สก.ชธธ.,1.0,D.0025__FL01__MDB,D.0025,FL01,MDB,ต.0025 อาคารอเนกประสงค์,ต.0025 อาคารอเนกประสงค์
21,สก.ชธธ.,0.16666666666666666,T.0019__FL01__Main,T.0019,FL01,Main,ท.0019 ชั้นที่ 1 อาคารทำการ ชธธ.,ท.0019 ชั้นที่ 1 อาคารทำการ ชธธ.
26,สก.ชธธ.,1.0,T.0019__FL03__SCB_3,T.0019,FL03,SCB 3,ท.0019 ชั้นที่ 3 อาคารทำการ ชธธ.,ท.0019 ชั้นที่ 3 อาคารทำการ ชธธ.
31,สก.ชธธ.,1.0,T.0020__FL01__SCB_21,T.0020,FL01,SCB 21,ท.0020 อาคาร ศูนย์รับรองสมรรถนะงานเดิมเครื่องและบำรุงรักษา,ท.0020 อาคาร ศูนย์รับรองสมรรถนะงานเดิมเครื่องและบำรุงรักษา
44,สก.ชธธ.,0.0833333,T.0019__FL09__SCB_9,T.0019,FL09,SCB 9,ท.0019 ชั้นที่ 9 (รวม),ท.0019 ชั้นที่ 9 (รวม)
56,อบค.,0.16666666666666666,T.0019__FL01__Main,T.0019,FL01,Main,ท.0019 ชั้นที่ 1 อาคารทำการ ชธธ.,ท.0019 ชั้นที่ 1 อาคารทำการ ชธธ.
57,อบค.,0.0833333333,T.0019__FL09__SCB_9,T.0019,FL09,SCB 9,ท.0019 ชั้นที่ 9 (รวม),ท.0019 ชั้นที่ 9 (รวม)
68,อบค.,1.0,T.0009__FL01__MDB,T.0009,FL01,MDB,ท.0009 อาคาร ปฏิบัติการพิเศษ,ท.0009 อาคาร ปฏิบัติการพิเศษ
69,อบค.,1.0,T.0011__FL01__MDB,T.0011,FL01,MDB,ท.0011 อาคาร เครื่องมือ อบค.,ท.0011 อาคาร เครื่องมือ อบค.
70,อบค.,1.0,T.0012__FL01__MDB,T.0012,FL01,MDB,ท.0012 อาคาร บำรุงรักษาเครื่องกล อบค.,ท.0012 อาคาร บำรุงรักษาเครื่องกล อบค.
71,อบค.,1.0,T.0017__FL01__MDB,T.0017,FL01,MDB,ท.0017 อาคาร ศูนย์พัฒนางานเชื่อมและทดสอบฝีมือช่างเชื่อมสากล,ท.0017 อาคาร ศูนย์พัฒนางานเชื่อมและทดสอบฝีมือช่างเชื่อมสากล
72,อบค.,1.0,T.0022__FL01__MDB,T.0022,FL01,MDB,ท.0022 อาคารห้องกัมตภาพรังสี อบค.,ท.0022 อาคารห้องกัมตภาพรังสี อบค.
73,อบค.,1.0,T.0023__FL01__MDB,T.0023,FL01,MDB,ท.0023 อาคาร Construction Shop อบค.,ท.0023 อาคาร Construction Shop อบค.
74,อบค.,1.0,B.0001__FL01__MDB,B.0001,FL01,MDB,บ.0001 อาคาร แฟลต อบค.,บ.0001 อาคาร แฟลต อบค.
81,อบฟ.,0.16666666666666666,T.0019__FL01__Main,T.0019,FL01,Main,ท.0019 ชั้นที่ 1 อาคารทำการ ชธธ.,ท.0019 ชั้นที่ 1 อาคารทำการ ชธธ.
82,อบฟ.,0.95,T.0014__FL01__MDB,T.0014,FL01,MDB,ท.0014 อาคาร ปฏิบัติการฝ่ายบำรุงรักษาไฟฟ้าและโยธา,ท.0014 อาคาร ปฏิบัติการฝ่ายบำรุงรักษาไฟฟ้าและโยธา
83,อบฟ.,1.0,T.0016__FL01__MDB,T.0016,FL01,MDB,ท.0016 อาคารปฏิบัติการเคมี 1 อคม.,ท.0016 อาคารปฏิบัติการเคมี 1 อคม.
84,อบฟ.,1.0,T.0018__FL01__MDB,T.0018,FL01,MDB,ท.0018 อาคารศูนย์มาตรวิทยาและสอบเทียบเครื่องมือวัด,ท.0018 อาคารศูนย์มาตรวิทยาและสอบเทียบเครื่องมือวัด
85,อบฟ.,1.0,T.0019__FL06__SCB_6,T.0019,FL06,SCB 6,ท.0019 ชั้นที่ 6 อบฟ.,ท.0019 ชั้นที่ 6 อบฟ.
90,อบฟ.,1.0,T.0019__FL07__SCB_7,T.0019,FL07,SCB 7,ท.0019 ชั้นที่ 7 อบฟ.,ท.0019 ชั้นที่ 7 อบฟ.
95,อบฟ.,0.5,T.0019__FL05__SCB_5,T.0019,FL05,SCB 5,"ท.0019 ชั้นที่ 5 อคม.,อบฟ.","ท.0019 ชั้นที่ 5 อคม.,อบฟ."
101,อคม.,0.16666666666666666,T.0019__FL01__Main,T.0019,FL01,Main,ท.0019 ชั้นที่ 1 อาคารทำการ ชธธ.,ท.0019 ชั้นที่ 1 อาคารทำการ ชธธ.
102,อคม.,1.0,T.0015__FL01__MDB,T.0015,FL01,MDB,ท.0015 อาคาศูนย์ปฏิบัติการทดสอบเคมี 2,ท.0015 อาคาศูนย์ปฏิบัติการทดสอบเคมี 2
103,อคม.,0.5,T.0019__FL05__SCB_5,T.0019,FL05,SCB 5,"ท.0019 ชั้นที่ 5 อคม.,อบฟ.","ท.0019 ชั้นที่ 5 อคม.,อบฟ."
109,อบย.,0.16666666666666666,T.0019__FL01__Main,T.0019,FL01,Main,ท.0019 ชั้นที่ 1 อาคารทำการ ชธธ.,ท.0019 ชั้นที่ 1 อาคารทำการ ชธธ.
110,อบย.,0.05,T.0014__FL01__MDB,T.0014,FL01,MDB,ท.0014 อาคาร ปฏิบัติการฝ่ายบำรุงรักษาไฟฟ้าและโยธา,ท.0014 อาคาร ปฏิบัติการฝ่ายบำรุงรักษาไฟฟ้าและโยธา
111,อบย.,1.0,T.0019__FL04__SCB_4,T.0019,FL04,SCB 4,ท.0019 ชั้นที่ 4 อบย.,ท.0019 ชั้นที่ 4 อบย.
117,อรอ.,1.0,T.0006__FL01__MDB,T.0006,FL01,MDB,ท.0006 อาคาร บริหารอะไหล่กังหันก๊าซ1 อรอ.,ท.0006 อาคาร บริหารอะไหล่กังหันก๊าซ1 อรอ.
118,อรอ.,1.0,T.0008__FL01__MDB,T.0008,FL01,MDB,ท.0008 อาคาร บริหารอะไหล่กังหันก๊าซ2 อรอ.,ท.0008 อาคาร บริหารอะไหล่กังหันก๊าซ2 อรอ.
119,อรอ.,1.0,T.0010__FL01__MDB,T.0010,FL01,MDB,ท.0010 อาคาร ทดสอบเครื่องกล อรอ.,ท.0010 อาคาร ทดสอบเครื่องกล อรอ.
121,อสร.,1.0,D.0015__FL01__MDB,D.0015,FL01,MDB,ต.0015 อาคารโรงซ่อมเครื่องกล อสร.,ต.0015 อาคารโรงซ่อมเครื่องกล อสร.
122,อสร.,1.0,T.0025__FL01__MDB,T.0025,FL01,MDB,ท.0025 อาคารเก็บอุปกรณ์ อสร.,ท.0025 อาคารเก็บอุปกรณ์ อสร.
124,อหข.,1.0,T.0026__FL01__MDB,T.0026,FL01,MDB,ท.0026 อาคารบริหารการขนส่ง,ท.0026 อาคารบริหารการขนส่ง
125,อหข.,1.0,T.0027__FL01__MDB,T.0027,FL01,MDB,ท.0027 อาคารปฏิบัติการกองขนส่ง,ท.0027 อาคารปฏิบัติการกองขนส่ง
126,อหข.,1.0,T.0028__FL01__MDB,T.0028,FL01,MDB,ท.0028 อาคารกองซ่อมเครื่องจักรกลและยานพาหนะ 1,ท.0028 อาคารกองซ่อมเครื่องจักรกลและยานพาหนะ 1
127,อหข.,1.0,T.0029__FL01__MDB,T.0029,FL01,MDB,ท.0029 อาคารกองซ่อมเครื่องจักรกลและยานพาหนะ 2,ท.0029 อาคารกองซ่อมเครื่องจักรกลและยานพาหนะ 2
128,อหข.,1.0,D.0031__FL01__MDB,D.0031,FL01,MDB,ต.0031 อาคารโรงอาหาร,ต.0031 อาคารโรงอาหาร
130,อหข.,1.0,D.0033__FL01__MDB,D.0033,FL01,MDB,ต.0033 อาคารปฏิบัติการงานเชื่อม,ต.0033 อาคารปฏิบัติการงานเชื่อม
